,sexratio,pop_perhouse,house_cnt
일도1동34,1.71,1526,110.56
일도1동35,1.71,1511,111.46
일도1동36,1.7,1506,110.96
일도1동37,1.7,1500,111.12
일도1동38,1.73,1436,112.57
일도1동39,1.73,1426,111.87
일도1동40,1.73,1417,112.84
일도1동41,1.74,1420,113.24
일도1동42,1.73,1420,112.62
일도1동43,1.73,1417,112.95
동홍동0,2.624074931,8648.0,96.1535137
동홍동1,2.612899517,8698.0,96.48136941
동홍동2,2.605758201,8718.0,96.49684283
동홍동3,2.603230981,8728.0,96.49744876
동홍동4,2.60231439,8728.0,96.63232621
동홍동5,2.59952011,8752.0,96.65485349
동홍동6,2.594942476,8779.0,96.7780945
동홍동7,2.585866606,8816.0,96.86528497
동홍동8,2.579643019,8852.0,96.87041986
동홍동9,2.572666892,8883.0,96.72032366
동홍동10,2.565534253,8919.0,96.64833276
동홍동11,2.561849323,8933.0,96.62342126
동홍동12,2.558300727,8945.0,96.63172366
동홍동13,2.551416462,8966.0,96.61366566
동홍동14,2.549614912,8959.0,96.49032258
동홍동15,2.549932976,8952.0,96.59805357
동홍동16,2.54678102,8978.0,96.41783352
동홍동17,2.547234895,8987.0,96.16109683
동홍동18,2.53843594,9015.0,96.14296734
동홍동19,2.537372844,9044.0,96.11998974
동홍동20,2.537808642,9072.0,96.17416496
동홍동21,2.53306239,9104.0,96.08026528
동홍동22,2.532222709,9124.0,96.21231423
동홍동23,2.530706076,9135.0,96.29786873
동홍동24,2.532231586,9137.0,96.29252566
동홍동25,2.52963044,9146.0,96.06779661
동홍동26,2.520326087,9200.0,96.06798579
동홍동27,2.505025397,9253.0,96.08324169
동홍동28,2.501348581,9269.0,95.93509676
동홍동29,2.494186047,9288.0,95.87384797
동홍동30,2.491414467,9318.0,95.64301365
동홍동31,2.485751018,9334.0,95.61588399
동홍동32,2.478738143,9383.0,95.70851565
동홍동33,2.48,"9,380",95.63
동홍동34,2.48,"9,383",95.43
동홍동35,2.47,"9,403",95.53
동홍동36,2.47,"9,400",95.62
동홍동37,2.46,"9,420",95.13
동홍동38,2.46,"9,433",95.39
동홍동39,2.45,"9,454",95.36
동홍동40,2.45,"9,487",95.06
동홍동41,2.44,"9,512",95.18
동홍동42,2.43,"9,523",95.31
동홍동43,2.43,"9,540",95.38
서홍동0,2.509910335,4238.0,99.3814433
서홍동1,2.514972884,4241.0,99.58832335
서홍동2,2.507757405,4254.0,99.7752809
서홍동3,2.507420495,4245.0,99.62490623
서홍동4,2.506355932,4248.0,99.45672537
서홍동5,2.499647639,4257.0,99.23235349
서홍동6,2.495892983,4261.0,99.00823353
서홍동7,2.492257156,4262.0,99.36186186
서홍동8,2.494835681,4260.0,98.98895338
서홍동9,2.494131455,4260.0,99.30594635
서홍동10,2.488372093,4257.0,99.07912047
서홍동11,2.492924528,4240.0,99.09587493
서홍동12,2.488295105,4229.0,99.14837245
서홍동13,2.484619025,4226.0,98.71309614
서홍동14,2.484345351,4216.0,98.59689041
서홍동15,2.480104216,4222.0,98.87939221
서홍동16,2.477068558,4230.0,98.59742229
서홍동17,2.478168515,4237.0,98.00113144
서홍동18,2.473510713,4247.0,97.8715389
서홍동19,2.473820755,4240.0,97.94300811
서홍동20,2.474780961,4223.0,97.82320651
서홍동21,2.473534299,4213.0,98.26864536
서홍동22,2.468890466,4227.0,98.44076821
서홍동23,2.471689173,4221.0,98.27061954
서홍동24,2.47029703,4242.0,98.09073724
서홍동25,2.468175389,4242.0,98.40818647
서홍동26,2.466021708,4238.0,98.65044668
서홍동27,2.45791087,4241.0,98.47677075
서홍동28,2.447362251,4265.0,98.17733055
서홍동29,2.445644517,4259.0,98.17351598
서홍동30,2.445514326,4258.0,98.53193518
서홍동31,2.447022972,4266.0,98.158694
서홍동32,2.444158277,4271.0,98.30927052
서홍동33,2.43,"4,336",98.44
서홍동34,2.43,"4,349",98.02
서홍동35,2.44,"4,358",97.84
서홍동36,2.43,"4,414",97.85
서홍동37,2.43,"4,426",98.16
서홍동38,2.43,"4,423",97.63
서홍동39,2.43,"4,451",97.7
서홍동40,2.43,"4,459",97.67
서홍동41,2.44,"4,483",97.77
